"Module / Portal","Endpoint Name","HTTP Method","API Endpoint URL","Headers","Request Parameters / Payload Columns","Parameter Types & Constraints","Expected Response Columns","Description & Business Purpose"
"Healthcare Partner Portal","Partner Custom Discount Services","GET, POST","https://cupan.getfreedeal.com/api/partner/services.php","Authorization: Bearer <token>","GET: none | POST: action ('add'|'edit'|'delete'), service_id, service_name, category_id, standard_price, member_discount_pct","action (string, req), service_name (string, req), standard_price (number, req), member_discount_pct (number, req)","{ success: true, message: string, data: [ { id: number, service_name: string, standard_price: number, discount_pct: number, effective_price: number } ] }","Enables clinic/lab to customize rates for OPD consultation, diagnostic tests, dental checkups, etc."
"Field Agent Portal","Field Agent Login Authentication","POST","https://cupan.getfreedeal.com/api/agent/login.php","Content-Type: application/json","agent_code_or_mobile, password","agent_code_or_mobile (string, req - e.g. HM-AGT-0101), password (string, req)","{ success: true, token: string, data: { agent_id: number, agent_code: string, full_name: string, mobile: string, district_id: number, district_name: string, photo_url: string } }","Authenticates on-ground field enrolment agent."
"Field Agent Portal","Field Agent Dashboard Overview","GET","https://cupan.getfreedeal.com/api/agent/dashboard.php","Authorization: Bearer <token>","None","None","{ success: true, data: { total_enrolments: number, today_enrolments: number, monthly_target: number, current_month_completed: number, total_earned_commission: number, pending_commission_payout: number, daily_target: number } }","Displays live enrolment numbers, daily targets, and pending earnings on Agent app."
"Field Agent Portal","Direct Member Enrolment (Issue Card)","POST","https://cupan.getfreedeal.com/api/agent/register_cardholder.php","Authorization: Bearer <token>, Content-Type: multipart/form-data","full_name, mobile, gender, dob, full_address, district_id, area_id, pin_code, blood_group, nominee_name, nominee_relation, nominee_phone, fee_collected, payment_method, id_proof_type, id_proof_number, photo_file","full_name (string, req), mobile (string 10-digit, req), gender ('male'|'female'|'other', req), dob (YYYY-MM-DD, req), full_address (string, req), district_id (int, req), blood_group (string, opt), nominee_name (string, req), fee_collected (number default 49, req), payment_method ('cash'|'upi'|'online', req), photo_file (image, opt)","{ success: true, message: string, data: { card_id: string, cardholder_id: number, digital_card_url: string, qr_token: string, validity_start: string, validity_end: string, receipt_no: string } }","Primary enrolment tool used by field agents to register families, collect ₹49 fee, and issue instant Health Mitra card."
"Field Agent Portal","Agent Enrolment List & Receipts","GET","https://cupan.getfreedeal.com/api/agent/cards_list.php","Authorization: Bearer <token>","status, search, from_date, to_date, limit, offset","status ('all'|'active'|'pending_verification', opt), search (string, opt), from_date (YYYY-MM-DD, opt), to_date (YYYY-MM-DD, opt)","{ success: true, total: number, data: [ { card_id: string, member_name: string, mobile: string, issue_date: string, expiry_date: string, status: string, commission_status: 'paid'|'pending' } ] }","Allows field agent to search enrolled citizens, check delivery status, and re-download receipt/card."
"Field Agent Portal","Agent Target & Performance Metrics","GET","https://cupan.getfreedeal.com/api/agent/performance.php","Authorization: Bearer <token>","month, year","month (int 1-12, opt), year (int, opt)","{ success: true, data: { monthly_target: number, achieved: number, remaining: number, progress_percent: number, daily_breakdown: [ { date: string, enrolments: number, commission: number } ] }","Shows target vs actual performance breakdown for field agents."
"Field Agent Portal","Agent Commission & Payout History","GET","https://cupan.getfreedeal.com/api/agent/commission_history.php","Authorization: Bearer <token>","payout_status, limit, offset","payout_status ('all'|'paid'|'pending', opt)","{ success: true, data: { lifetime_commission: number, paid_out: number, pending_clearance: number, history: [ { payout_id: number, date: string, cards_count: number, amount: number, reference_utr: string, status: 'completed'|'processing' } ] } }","Displays detailed bank credit/UTR details for agent incentive disbursements."
"Cardholder / Member Portal","Cardholder Login (OTP / PIN)","POST","https://cupan.getfreedeal.com/api/cardholder/login.php","Content-Type: application/json","mobile_number_or_card_id, otp_or_pin","mobile_number_or_card_id (string, req), otp_or_pin (string, req)","{ success: true, token: string, data: { cardholder_id: number, card_id: string, name: string, mobile: string, photo_url: string, expiry_date: string, status: 'active'|'expired' } }","Enables cardholder to log in using OTP or Access PIN to view digital card."
"Cardholder / Member Portal","Digital Health Card & Live QR","GET","https://cupan.getfreedeal.com/api/cardholder/digital_card.php","Authorization: Bearer <token>","None","None","{ success: true, data: { card_id: string, member_name: string, photo_url: string, blood_group: string, valid_from: string, valid_upto: string, status: 'active'|'expired', qr_data: string, nominee_name: string, district: string, emergency_helpline: string } }","Powers interactive digital card with QR code, flip animation, and offline download on Cardholder screen."
"Cardholder / Member Portal","Initiate Membership Renewal (₹49)","POST","https://cupan.getfreedeal.com/api/cardholder/renew_initiate.php","Authorization: Bearer <token>, Content-Type: application/json","card_id, payment_gateway","card_id (string, req), payment_gateway ('razorpay'|'phonepe'|'cashfree', opt default 'razorpay')","{ success: true, data: { order_id: string, amount_in_paise: 4900, currency: 'INR', key_id: string, customer_name: string, customer_mobile: string, customer_email: string } }","Generates payment gateway order for ₹49 annual renewal."
"Cardholder / Member Portal","Verify & Complete Renewal Payment","POST","https://cupan.getfreedeal.com/api/cardholder/renew_verify.php","Authorization: Bearer <token>, Content-Type: application/json","card_id, razorpay_payment_id, razorpay_order_id, razorpay_signature","card_id (string, req), razorpay_payment_id (string, req), razorpay_order_id (string, req), razorpay_signature (string, req)","{ success: true, message: 'Membership renewed successfully!', data: { card_id: string, old_expiry: string, new_expiry: string, payment_receipt_url: string, status: 'active' } }","Verifies payment gateway webhook/signature and extends cardholder membership by 365 days."
"Cardholder / Member Portal","Family Dependents Management","GET, POST","https://cupan.getfreedeal.com/api/cardholder/family_members.php","Authorization: Bearer <token>","GET: none | POST: action ('add'|'edit'|'delete'), dependent_id, full_name, relationship, age, gender, blood_group","action (string, req), full_name (string, req), relationship ('spouse'|'child'|'parent'|'other', req), age (int, req), gender (string, req)","{ success: true, data: [ { id: number, name: string, relation: string, age: number, gender: string, blood_group: string } ] }","Allows primary cardholder to list family members covered under healthcare discounts."
"Cardholder / Member Portal","Member Savings & Discount Ledger","GET","https://cupan.getfreedeal.com/api/cardholder/savings_history.php","Authorization: Bearer <token>","limit, offset","limit (int, opt), offset (int, opt)","{ success: true, data: { total_saved_amount: number, total_visits: number, history: [ { date: string, partner_name: string, outlet_category: string, bill_amount: number, discount_saved: number, final_paid: number } ] } }","Shows cardholder how much money they saved using Health Mitra at pharmacies and hospitals."
"District Coordinator Portal","District Coordinator Login","POST","https://cupan.getfreedeal.com/api/district/login.php","Content-Type: application/json","coordinator_email_or_mobile, password","coordinator_email_or_mobile (string, req), password (string, req)","{ success: true, token: string, data: { coordinator_id: number, name: string, district_id: number, district_name: string, mobile: string } }","District administrative desk login."
"District Coordinator Portal","District Operations Dashboard","GET","https://cupan.getfreedeal.com/api/district/dashboard.php","Authorization: Bearer <token>","None","None","{ success: true, data: { district_id: number, district_name: string, rollout_phase: string, total_cards_issued: number, target_cards: number, active_field_agents: number, total_partner_clinics: number, this_month_enrolments: number } }","District-level overview of card penetration, active field staff, and partner clinics."
"District Coordinator Portal","District Field Agents Roster","GET","https://cupan.getfreedeal.com/api/district/agents_list.php","Authorization: Bearer <token>","status, search, limit, offset","status ('all'|'active'|'inactive', opt), search (string, opt)","{ success: true, total: number, data: [ { agent_id: number, agent_code: string, name: string, mobile: string, assigned_area: string, total_cards: number, current_month_cards: number, target_achievement_pct: number, status: string } ] }","Allows District Coordinator to inspect, monitor, and guide all on-ground agents in their district."
"District Coordinator Portal","District Healthcare Partners Directory","GET","https://cupan.getfreedeal.com/api/district/partners_list.php","Authorization: Bearer <token>","category_id, search, limit, offset","category_id (int, opt), search (string, opt)","{ success: true, total: number, data: [ { partner_id: number, outlet_name: string, category: string, area: string, contact_person: string, mobile: string, patients_served: number, status: string } ] }","Directory of all participating hospitals, clinics, diagnostic centers, and pharmacies in the district."
"District Coordinator Portal","District Cards Distribution Log","GET","https://cupan.getfreedeal.com/api/district/cards_overview.php","Authorization: Bearer <token>","status, from_date, to_date, area_id, limit, offset","status (string, opt), from_date (YYYY-MM-DD, opt), to_date (YYYY-MM-DD, opt), area_id (int, opt)","{ success: true, total: number, data: [ { card_id: string, member_name: string, agent_code: string, area_name: string, issue_date: string, expiry_date: string, status: string } ] }","Audit list of all cards issued within the coordinator's district."
